name,longitude,latitude,prov,date,key
Solanum acaule Bitter,-68.678877,-16.552953,gbif,2022-01-27,4923851656
Solanum L.,-67.787111,-15.545972,gbif,2022-01-14,3946802513
Solanum L.,-67.787111,-15.545972,gbif,2022-01-14,3946810038
Solanum L.,-68.036939,-15.653542,gbif,2022-01-15,3946817656
Solanum schlechtendalianum Walp.,-65.237667,-17.406166,gbif,2022-02-02,4014866482
Solanum sisymbriifolium Lam.,-65.067495,-18.788687,gbif,2022-02-19,3858194936
Solanum tuberosum L.,-68.092387,-16.475532,gbif,2022-03-26,4453669500
Solanum nitidum Ruiz & Pav.,-68.864729,-16.60027,gbif,2022-03-27,4028739672
Solanum nitidum Ruiz & Pav.,-68.115569,-16.477924,gbif,2022-04-29,3925179478
Solanum nitidum Ruiz & Pav.,-68.148854,-16.450181,gbif,2022-04-29,3925068478
Solanum violaceimarmoratum Bitter,-67.891767,-16.289825,gbif,2022-04-29,3785006470
Solanum nitidum Ruiz & Pav.,-68.041582,-16.533137,gbif,2022-04-30,3925012480
Solanum actaeabotrys Rusby,-67.892661,-16.295092,gbif,2022-04-29,4111757387
Solanum nitidum Ruiz & Pav.,-67.993736,-16.548548,gbif,2022-04-30,3925024493
Solanum nitidum Ruiz & Pav.,-68.119294,-16.489689,gbif,2022-04-30,4028697512
Solanum L.,-68.057863,-16.514161,gbif,2022-04-30,4852631644
Solanum nitidum Ruiz & Pav.,-68.160078,-16.472199,gbif,2022-04-29,4028766782
Solanum nitidum Ruiz & Pav.,-68.018933,-16.571275,gbif,2022-04-30,4028709767
Solanum nitidum Ruiz & Pav.,-68.022387,-16.555824,gbif,2022-04-30,4028781625
Solanum lycopersicum L.,-68.10735,-16.529177,gbif,2022-04-30,3773287574
Solanum marginatum L.fil.,-68.085068,-16.521266,gbif,2022-04-29,3773338611
Solanum nitidum Ruiz & Pav.,-68.16283,-16.576958,gbif,2022-04-29,3773470857
Solanum nitidum Ruiz & Pav.,-68.092705,-16.619919,gbif,2022-04-29,3773182717
Solanum nitidum Ruiz & Pav.,-68.167297,-16.580219,gbif,2022-04-29,3773621571
Solanum nitidum Ruiz & Pav.,-68.167297,-16.580219,gbif,2022-04-29,4028765564
Solanum nitidum Ruiz & Pav.,-68.014211,-16.590694,gbif,2022-04-30,3858222090
Solanum nitidum Ruiz & Pav.,-67.926858,-16.521587,gbif,2022-04-30,3802372486
Solanum symmetricum Rusby,-67.505806,-16.386083,gbif,2022-04-06,3946789102
Solanum maturecalvans Bitter,-67.505806,-16.386083,gbif,2022-04-06,3946785855
Solanum maturecalvans Bitter,-67.505806,-16.386083,gbif,2022-04-06,3946775613
Solanum maturecalvans Bitter,-67.504472,-16.385917,gbif,2022-04-08,3946853501
Solanum iltisii K.E.Roe,-67.583056,-16.398083,gbif,2022-04-10,3946789173
Solanum iltisii K.E.Roe,-67.583056,-16.398083,gbif,2022-04-10,3946827374
Solanum roseum Bohs,-67.502694,-16.352972,gbif,2022-04-16,3946796286
Solanum maturecalvans Bitter,-67.502694,-16.352972,gbif,2022-04-16,3946785897
Solanum L.,-67.499194,-16.361472,gbif,2022-04-18,3946785269
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,3946804087
Solanum maturecalvans Bitter,-67.502694,-16.352972,gbif,2022-04-16,4412714312
Solanum L.,-67.499194,-16.361472,gbif,2022-04-18,4412720385
Solanum symmetricum Rusby,-67.505806,-16.386083,gbif,2022-04-06,4412709418
Solanum maturecalvans Bitter,-67.505806,-16.386083,gbif,2022-04-06,4412724407
Solanum maturecalvans Bitter,-67.505806,-16.386083,gbif,2022-04-06,4412709427
Solanum maturecalvans Bitter,-67.504472,-16.385917,gbif,2022-04-08,4416245370
Solanum iltisii K.E.Roe,-67.583056,-16.398083,gbif,2022-04-10,4416232396
Solanum iltisii K.E.Roe,-67.583056,-16.398083,gbif,2022-04-10,4416226410
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,4419918387
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,4419915395
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,4518039307
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,4518054314
Solanum L.,-67.582639,-16.39675,gbif,2022-04-10,4518055312
Solanum nitidum Ruiz & Pav.,-67.953108,-16.56113,gbif,2022-05-01,3925072499
Solanum abutiloides (Griseb.) Bitter & Lillo,-67.888747,-16.692156,gbif,2022-05-01,4054865438
Solanum betaceum Cav.,-68.078873,-16.548134,gbif,2022-05-02,4176984514
Solanum pseudocapsicum L.,-68.13807,-16.506445,gbif,2022-05-02,3912165484
Solanum betaceum Cav.,-68.116071,-16.503648,gbif,2022-05-02,4852385514
Solanum nitidum Ruiz & Pav.,-68.055547,-16.558391,gbif,2022-05-01,4852671381
Solanum betaceum Cav.,-68.055016,-16.097637,gbif,2022-05-01,3773486031
Solanum betaceum Cav.,-68.063663,-16.103084,gbif,2022-05-01,3773254110
Solanum nitidum Ruiz & Pav.,-68.049667,-16.440971,gbif,2022-05-02,3802421460
Solanum nitidum Ruiz & Pav.,-68.048416,-16.444973,gbif,2022-05-02,3802630473
Solanum nitidum Ruiz & Pav.,-68.048416,-16.444973,gbif,2022-05-02,4028694521
Solanum acaule Bitter,-68.020157,-16.447201,gbif,2022-05-02,3860074059
Solanum nitidum Ruiz & Pav.,-68.020157,-16.447201,gbif,2022-05-02,3925155476
Solanum nitidum Ruiz & Pav.,-68.022232,-16.446196,gbif,2022-05-02,3802326470
Solanum betaceum Cav.,-68.055439,-16.101676,gbif,2022-05-01,3802725465
Solanum L.,-68.085555,-16.121945,gbif,2022-05-16,4061930087
Solanum L.,-67.226944,-16.825556,gbif,2022-05-23,4061409018
Solanum sisymbriifolium Lam.,-63.85435,-18.238414,gbif,2022-06-09,3859770857
Solanum tuberosum L.,-63.89452,-18.164072,gbif,2022-06-18,3892689435
Solanum sisymbriifolium Lam.,-63.897953,-18.165894,gbif,2022-06-18,3860121220
Solanum sisymbriifolium Lam.,-63.897953,-18.165894,gbif,2022-06-18,3858829217
Solanum asperolanatum Ruiz & Pav.,-65.856944,-17.250555,gbif,2022-06-14,4062226786
Solanum L.,-65.270556,-17.531667,gbif,2022-06-16,4062226797
Solanum americanum Mill.,-67.89106,-14.148835,gbif,2022-07-22,4028783908
Solanum L.,-67.913422,-16.315386,gbif,2022-07-27,3946846777
Solanum L.,-67.888278,-16.318639,gbif,2022-07-27,3946806689
Solanum marginatum L.fil.,-68.068237,-16.540321,gbif,2022-09-02,4028770020
Solanum fiebrigii Bitter,-63.776978,-18.198657999999998,gbif,2022-09-15,3924997674
Solanum marginatum L.fil.,-68.152365,-16.465639,gbif,2022-10-14,3947623470
Solanum L.,-63.171394,-17.710623,gbif,2022-10-25,4852152794
Solanum L.,-67.519242,-16.364955,gbif,2022-10-12,4412600324
Solanum tripartitum Dunal,-66.371723,-19.754691,gbif,2022-11-04,4129943439
Solanum sinuatirecurvum Bitter,-66.026113,-21.112237,gbif,2022-11-24,4067302866
Solanum sisymbriifolium Lam.,-64.046012,-20.479868,gbif,2022-12-02,4516235823
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.1328,-18.815157,gbif,2021-01-15,4162273315
Solanum sisymbriifolium Lam.,-66.165857,-17.444485,gbif,2021-01-29,3954625203
Solanum sisymbriifolium Lam.,-66.206446,-17.387873,gbif,2021-01-31,3957933350
Solanum betaceum Cav.,-66.095808,-17.389219,gbif,2021-01-31,3959134851
Solanum L.,-68.486389,-15.105278,gbif,2021-01-15,3946802985
Solanum L.,-67.885833,-16.191667,gbif,2021-01-23,3946783292
Solanum ternatum Ruiz & Pav.,-65.276593,-17.468505,gbif,2021-02-15,4096471369
Solanum tuberosum L.,-68.097464,-16.567106,gbif,2021-02-17,3058685666
Solanum tuberosum L.,-68.097453,-16.567111,gbif,2021-02-17,3343699419
Solanum acaule Bitter,-68.072614,-16.545139,gbif,2021-02-21,3044946063
Solanum acaule Bitter,-68.072064,-16.543311,gbif,2021-02-26,3058874123
Solanum betaceum Cav.,-66.300892,-17.39756,gbif,2021-02-16,3954678917
Solanum sinuatiexcisum Bitter,-64.707208,-17.827133,gbif,2021-03-09,3305385304
Solanum L.,-64.707208,-17.827133,gbif,2021-03-09,3305387304
Solanum violaceimarmoratum Bitter,-67.848997,-16.287694,gbif,2021-03-16,3305413309
Solanum L.,-67.100519,-16.862039,gbif,2021-03-18,3305407306
Solanum aphyodendron S.Knapp,-64.679722,-17.820556,gbif,2021-03-09,3946803215
Solanum L.,-65.274444,-17.496667,gbif,2021-03-11,3946840179
Solanum pallidum Rusby,-68.137778,-16.175556,gbif,2021-03-14,3946794279
Solanum cochabambense Bitter,-67.911111,-16.311389,gbif,2021-03-17,3946796029
Solanum sinuatiexcisum Bitter,-64.707208,-17.827133,gbif,2021-03-09,4032160602
Solanum violaceimarmoratum Bitter,-67.848997,-16.287694,gbif,2021-03-16,4031521447
Solanum L.,-67.100519,-16.862039,gbif,2021-03-18,4032006292
Solanum sisymbriifolium Lam.,-66.258456,-17.258586,gbif,2021-04-07,4075676462
Solanum lycopersicum L.,-66.072094,-11.007159,gbif,2021-04-30,3947174425
Solanum aphyodendron S.Knapp,-68.635889,-14.774806,gbif,2021-06-07,3339857316
Solanum betaceum Cav.,-66.185982,-17.345497,gbif,2021-07-04,3949232098
Solanum aligerum Schltdl.,-67.283889,-16.892222,gbif,2021-09-29,4061391140
Solanum L.,-67.356389,-16.797222,gbif,2021-09-29,4061929978
Solanum L.,-67.401389,-16.7725,gbif,2021-09-29,4061915097
Solanum L.,-67.941667,-16.329167,gbif,2021-10-05,4062115239
Solanum torvum Sw.,-63.588653,-16.168393,gbif,2021-11-18,3455162219
Solanum nitidum Ruiz & Pav.,-68.107093,-16.468668,gbif,2020-01-03,4519255960
Solanum pentlandii Dunal,-68.132142,-16.487169,gbif,2020-01-12,4028759388
Solanum acaule Bitter,-68.072322,-16.543197,gbif,2020-01-17,2563492232
Solanum acaule Bitter,-68.043522,-16.341666,gbif,2020-02-16,4852697586
Solanum tuberosum L.,-66.215757,-17.347906,gbif,2020-02-08,2646988895
Solanum pentlandii Dunal,-68.142906,-16.463042,gbif,2020-03-08,4028628394
Solanum sisymbriifolium Lam.,-64.694992,-19.157167,gbif,2020-04-20,3039361487
Solanum pseudocapsicum L.,-68.097515,-16.51158,gbif,2020-04-24,2611098934
Solanum abutiloides (Griseb.) Bitter & Lillo,-66.325844,-17.390464,gbif,2020-04-24,4162039321
Solanum sisymbriifolium Lam.,-66.165322,-17.413977,gbif,2020-04-26,4075720383
Solanum lycopersicum L.,-68.184689,-16.483674,gbif,2020-04-25,2620054757
Solanum tuberosum L.,-68.102072,-16.495967,gbif,2020-04-27,2611049894
Solanum palitans C.V.Morton,-68.096838,-16.490336,gbif,2020-04-27,2611252919
Solanum nitidum Ruiz & Pav.,-68.097617,-16.490174,gbif,2020-04-27,2611080856
Solanum L.,-66.059682,-11.009479,gbif,2020-04-25,4500714437
Solanum lycopersicum L.,-66.128383,-17.451896,gbif,2020-04-27,2619967482
Solanum sisymbriifolium Lam.,-66.133039,-17.453362,gbif,2020-04-27,2620139568
Solanum betaceum Cav.,-66.190416,-17.380018,gbif,2020-04-01,3953613148
Solanum betaceum Cav.,-68.035164,-16.661472,gbif,2020-04-08,3952084869
Solanum betaceum Cav.,-66.190406,-17.380022,gbif,2020-04-09,3956954909
Solanum betaceum Cav.,-65.260808,-19.043861,gbif,2020-05-14,3953026436
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.254727,-19.045023,gbif,2020-08-06,4161974339
Solanum uncinellum Lindl.,-66.099567,-11.029986,gbif,2020-08-15,4022128321
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.162191000000007,-18.890063,gbif,2020-10-28,4162238338
Solanum sisymbriifolium Lam.,-65.127735,-18.834778,gbif,2020-11-06,4076243437
Solanum lycopersicum L.,-68.015944,-16.672866,gbif,2020-11-16,3947581372
Solanum tuberosum L.,-66.29715,-17.365704,gbif,2020-11-06,3958802173
Solanum betaceum Cav.,-66.15076,-17.381491,gbif,2020-11-23,3959068894
Solanum L.,-67.705367,-16.396094,gbif,2020-12-11,3126634328
Solanum L.,-67.782739,-15.584564,gbif,2020-12-04,3128950306
Solanum schlechtendalianum Walp.,-68.01405,-15.550353,gbif,2020-12-06,3128960313
Solanum tenuispinum Rusby,-67.470536,-16.518069,gbif,2020-12-10,3128966316
Solanum L.,-67.705367,-16.396094,gbif,2020-12-11,4031863385
Solanum schlechtendalianum Walp.,-68.01405,-15.550353,gbif,2020-12-06,4031431334
Solanum tenuispinum Rusby,-67.470536,-16.518069,gbif,2020-12-10,4031955593
Solanum sisymbriifolium Lam.,-65.438347,-18.991033,gbif,2019-02-11,4067651352
Solanum sisymbriifolium Lam.,-66.024166,-17.629851,gbif,2019-02-22,2644423949
Solanum nitidum Ruiz & Pav.,-68.132213,-16.489136,gbif,2019-03-16,4413485347
Solanum gomphodes Dunal,-61.293055,-15.961667,gbif,2019-03-15,4164504311
Solanum nitidum Ruiz & Pav.,-68.167396,-16.578287,gbif,2019-04-27,2273202397
Solanum nitidum Ruiz & Pav.,-68.111395,-16.470108,gbif,2019-04-27,2465100622
Solanum nitidum Ruiz & Pav.,-68.041692,-16.533199,gbif,2019-04-27,3892529310
Solanum tuberosum L.,-68.164715,-16.579747,gbif,2019-04-27,2429201212
Solanum nitidum Ruiz & Pav.,-68.102921,-16.486461,gbif,2019-04-27,2465100740
Solanum nitidum Ruiz & Pav.,-67.9388,-16.535059,gbif,2019-04-27,3892481313
Solanum nitidum Ruiz & Pav.,-68.670761,-16.366792,gbif,2019-04-28,2273202915
Solanum marginatum L.fil.,-68.086937,-16.486837,gbif,2019-04-28,2465101141
Solanum wendlandii Hook.fil.,-68.089929,-16.51982,gbif,2019-04-28,4054985310
Solanum palitans C.V.Morton,-68.066399,-16.537018,gbif,2019-04-29,2517947541
Solanum L.,-68.075213,-16.52989,gbif,2019-04-29,4852236224
Solanum marginatum L.fil.,-68.123437,-16.494798,gbif,2019-04-29,4852635197
Solanum marginatum L.fil.,-68.112617,-16.517129,gbif,2019-04-29,2238986445
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.13416,-16.17092,gbif,2019-04-26,3747245322
Solanum marginatum L.fil.,-68.058699,-16.531413,gbif,2019-04-29,2465101981
Solanum betaceum Cav.,-68.05853,-16.1003,gbif,2019-04-27,2239037434
Solanum palitans C.V.Morton,-68.093976,-16.555602,gbif,2019-04-27,3743318309
Solanum nitidum Ruiz & Pav.,-68.055661,-16.557092,gbif,2019-04-27,4413612345
Solanum aphyodendron S.Knapp,-68.931306,-14.598055,gbif,2019-04-22,2269025188
Solanum aphyodendron S.Knapp,-68.941361,-14.740028,gbif,2019-06-26,2302244991
Solanum nitidum Ruiz & Pav.,-68.014613,-16.523913,gbif,2019-07-16,3892581310
Solanum L.,-68.945972,-14.744972,gbif,2019-07-04,2302244127
Solanum L.,-68.993639,-14.770917,gbif,2019-09-05,2425456683
Solanum nitidum Ruiz & Pav.,-68.1521,-16.485262,gbif,2019-10-13,2449398780
Solanum iodes Dammer,-68.203148,-16.48978,gbif,2019-10-08,2449398682
Solanum iodes Dammer,-67.895561,-16.305895,gbif,2019-10-16,2449399239
Solanum iodes Dammer,-68.094604,-16.566874,gbif,2019-10-06,2449399182
Solanum iodes Dammer,-67.741699,-16.194893,gbif,2019-10-14,2541244211
Solanum iodes Dammer,-67.741699,-16.194893,gbif,2019-10-15,2541244177
Solanum palitans C.V.Morton,-68.094772,-16.554218,gbif,2019-11-17,3947062332
Solanum trigalense Cárdenas,-64.135556,-18.453889,gbif,2018-02-25,4909644031
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,2268934319
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,2268935532
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,4061987896
Solanum L.,-68.721378,-14.661556,gbif,2018-07-23,2268963325
Solanum acutilobum Dunal,-63.672222,-18.135278,gbif,2018-10-23,4924374856
Solanum aphyodendron S.Knapp,-68.46625,-15.074917,gbif,2018-10-08,2268971885
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.271633,-19.060243,gbif,2017-01-30,4162140310
Solanum sisymbriifolium Lam.,-65.271638,-19.060158,gbif,2017-01-30,1847418120
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.272603,-19.059777,gbif,2017-01-30,4162028310
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.272597,-19.059775,gbif,2017-01-30,4162216305
Solanum sisymbriifolium Lam.,-65.250648,-19.057878,gbif,2017-01-31,1847418469
Solanum acaule Bitter,-68.07235,-16.543582,gbif,2017-01-16,2980937379
Solanum argentinum Bitter & Lillo,-63.17,-20.031667,gbif,2017-02-10,4926512098
Solanum argentinum Bitter & Lillo,-63.17,-20.031667,gbif,2017-02-10,3946854245
Solanum hieronymi Kuntze,-63.025556,-19.83,gbif,2017-02-09,3946834524
Solanum polytrichostylum Bitter,-67.820722,-16.222417,gbif,2017-03-10,3946844630
Solanum sinuatiexcisum Bitter,-67.880278,-16.298444,gbif,2017-03-10,3946842894
Solanum acutilobum Dunal,-63.265833,-18.281389,gbif,2017-03-04,3946834588
Solanum riparium Pers.,-63.244167,-18.293055,gbif,2017-03-04,3946851962
Solanum polytrichostylum Bitter,-67.820722,-16.222417,gbif,2017-03-10,4031840158
Solanum sinuatiexcisum Bitter,-67.880278,-16.298444,gbif,2017-03-10,4031522055
Solanum sisymbriifolium Lam.,-66.245828,-17.309328,gbif,2017-07-08,1950035826
Solanum L.,-66.13139,-17.31778,gbif,2017-07-20,4444390741
Solanum lindenii Rusby,-68.168056000000007,-14.617778,gbif,2017-09-19,3946780800
Solanum maturecalvans Bitter,-69.038611,-14.683889,gbif,2017-11-13,3946807915
Solanum maturecalvans Bitter,-69.038611,-14.683889,gbif,2017-11-13,4032140379
Solanum L.,-64.6725,-17.825,gbif,2017-12-11,2252414661
Solanum nitidum Ruiz & Pav.,-69.085529,-16.170221,gbif,2016-01-11,4516173348
Solanum L.,-63.40097,-18.90834,gbif,2016-03-07,4912191543
Solanum consimile C.V.Morton,-63.37512,-18.86326,gbif,2016-03-07,4912189440
Solanum L.,-69.07138,-18.345833,gbif,2016-05-14,2252414934
Solanum clandestinum Bohs,-68.853806,-14.887222,gbif,2016-06-23,2268820264
Solanum maturecalvans Bitter,-68.853806,-14.887222,gbif,2016-06-23,2268822595
Solanum cutervanum Zahlbr.,-68.861472,-14.889305,gbif,2016-06-29,2268821278
Solanum clandestinum Bohs,-68.853806,-14.887222,gbif,2016-06-23,4061829096
Solanum cutervanum Zahlbr.,-68.861472,-14.889305,gbif,2016-06-29,4061222032
Solanum aphyodendron S.Knapp,-68.917889,-15.112889,gbif,2016-07-05,2268822690
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268822100
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,2268821600
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268821995
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268822777
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,2268822858
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268823302
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268821548
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268824613
Solanum aphyodendron S.Knapp,-68.917889,-15.112889,gbif,2016-07-05,4061829095
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,4031373248
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031476341
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4061209974
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,4061941989
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,4061756048
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031476342
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031380465
Solanum abutiloides (Griseb.) Bitter & Lillo,-65,-17,gbif,NA,3818079566
Solanum corumbense S.Moore,-68.321389,-14.397222,gbif,2015-06-30,4536870423
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180594
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.879667,-15.132389,gbif,2015-07-13,1258180617
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180691
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180675
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180861
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180864
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180896
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258181234
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031462851
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.879667,-15.132389,gbif,2015-07-13,4031365989
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031968716
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031900157
Solanum sisymbriifolium Lam.,-63.45807,-21.260005,gbif,2015-08-12,2901562534
Solanum palitans C.V.Morton,-65.766077,-17.56572,gbif,2015-09-24,4847136329
Solanum sisymbriifolium Lam.,-65.765878,-17.565373,gbif,2015-09-24,1847417897
Solanum fiebrigii Bitter,-65.762162,-17.562992,gbif,2015-09-24,3859331345
Solanum sisymbriifolium Lam.,-66.35729,-17.358718,gbif,2015-09-27,1847418001
Solanum caricaefolium Rusby,-64.500167,-17.268319,gbif,2015-09-29,4075621410
Solanum wrightii Benth.,-65.659711,-17.024867,gbif,2015-09-26,3384392505
Solanum crinitum Lam.,-64.26306,-12.57139,gbif,2015-09-26,2805018366
Solanum consimile C.V.Morton,-63.3425,-18.819444,gbif,2015-10-24,4926519735
Solanum acutilobum Dunal,-63.306111,-18.79,gbif,2015-10-24,3946804043
Solanum riparium Pers.,-65.293611,-17.808333,gbif,2015-10-16,3946825918
Solanum riparium Pers.,-65.293611,-17.808333,gbif,2015-10-16,4527083379
Solanum L.,-67.205542,-16.805365,gbif,2015-11-05,4852674618
Solanum abutiloides (Griseb.) Bitter & Lillo,-64.216667,-18.118333,gbif,2015-11-21,3946842329
